Property + Unit +Room	Property	Unit	Room
1414 West 36th Street, Los Angeles, CA, USA RM204	1414 West 36th Street, Los Angeles, CA, USA		204
1416 West 36th Street, Los Angeles, CA, USA RM201	1416 West 36th Street, Los Angeles, CA, USA		201
1416 West 36th Street, Los Angeles, CA, USA RM204	1416 West 36th Street, Los Angeles, CA, USA		204
1416 West 36th Street, Los Angeles, CA, USA RM305	1416 West 36th Street, Los Angeles, CA, USA		305
1416 West 36th Street, Los Angeles, CA, USA RM306	1416 West 36th Street, Los Angeles, CA, USA		306
1416 West 36th Street, Los Angeles, CA, USA RM301	1416 West 36th Street, Los Angeles, CA, USA		301
1416 West 36th Street, Los Angeles, CA, USA RM205	1416 West 36th Street, Los Angeles, CA, USA		205
1416 West 36th Street, Los Angeles, CA, USA RM206	1416 West 36th Street, Los Angeles, CA, USA		206
1416 West 36th Street, Los Angeles, CA, USA RM208	1416 West 36th Street, Los Angeles, CA, USA		208
1416 West 36th Street, Los Angeles, CA, USA RM302	1416 West 36th Street, Los Angeles, CA, USA		302
1416 West 36th Street, Los Angeles, CA, USA RM202	1416 West 36th Street, Los Angeles, CA, USA		202
1416 West 36th Street, Los Angeles, CA, USA RM203	1416 West 36th Street, Los Angeles, CA, USA		203
1419 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM3	1419 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		3
1419 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM1	1419 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		1
1419 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM2	1419 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		2
1419 South New Hampshire Avenue, Los Angeles, CA, USA RM5	1419 South New Hampshire Avenue, Los Angeles, CA, USA		5
1419 South New Hampshire Avenue, Los Angeles, CA, USA RM2	1419 South New Hampshire Avenue, Los Angeles, CA, USA		2
1419 South New Hampshire Avenue, Los Angeles, CA, USA RMWhole Unit	1419 South New Hampshire Avenue, Los Angeles, CA, USA		Whole Unit
1419 South New Hampshire Avenue, Los Angeles, CA, USA RM1	1419 South New Hampshire Avenue, Los Angeles, CA, USA		1
1419 South New Hampshire Avenue, Los Angeles, CA, USA RM3	1419 South New Hampshire Avenue, Los Angeles, CA, USA		3
1421 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM4	1421 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		4
1421 South New Hampshire Avenue, Los Angeles, CA, USA RM4	1421 South New Hampshire Avenue, Los Angeles, CA, USA		4
1421 South New Hampshire Avenue, Los Angeles, CA, USA RM3	1421 South New Hampshire Avenue, Los Angeles, CA, USA		3
1423 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM4	1423 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		4
1423 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM5	1423 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		5
1425 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM3	1425 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		3
1425 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM403	1425 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		403
1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM3	1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		3
1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM4	1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		4
1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM2	1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		2
1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA RM5	1427 1/2 South New Hampshire Avenue, Los Angeles, CA, USA		5
1427 South New Hampshire Avenue, Los Angeles, CA, USA RM1	1427 South New Hampshire Avenue, Los Angeles, CA, USA		1
1427 South New Hampshire Avenue, Los Angeles, CA, USA RM3	1427 South New Hampshire Avenue, Los Angeles, CA, USA		3
